image_name,folder,class,center_X,center_y,width,height,class_name,filename,im_size,bbox_area_rel,bbox_area_abs,bbox_coords
ckictsenl0000246a2itn28ts,train,0,0.11487964989059081,0.5636363636363636,0.04157549234135667,0.6181818181818182,0,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.025701213447384123,1292.0,"(43.0, 27.999999999999996, 62.0, 96.0)"
ckictsenl0000246a2itn28ts,train,5,0.19803063457330414,0.5272727272727272,0.04157549234135667,0.6727272727272727,5,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.027968967575094487,1406.0,"(81.0, 20.999999999999996, 99.99999999999999, 94.99999999999999)"
ckictsenl0000246a2itn28ts,train,2,0.28884026258205686,0.4954545454545454,0.048140043763676144,0.7545454545454545,2,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.03632385120350109,1825.9999999999998,"(121.0, 12.999999999999998, 142.99999999999997, 96.0)"
ckictsenl0000246a2itn28ts,train,8,0.3785557986870897,0.4909090909090909,0.048140043763676144,0.7454545454545454,8,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.03588621444201312,1803.9999999999993,"(162.0, 13.000000000000004, 184.0, 94.99999999999999)"
ckictsenl0000246a2itn28ts,train,18,0.5897155361050328,0.5045454545454545,0.05470459518599562,0.7363636363636363,L,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.040282474636960414,2025.0,"(257.0, 14.999999999999998, 282.0, 96.0)"
ckictsenl0000246a2itn28ts,train,23,0.6794310722100656,0.509090909090909,0.05032822757111597,0.7090909090909091,U,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.03568728864133678,1794.0,"(299.0, 16.999999999999993, 321.99999999999994, 94.99999999999999)"
ckictsenl0000246a2itn28ts,train,25,0.7669584245076586,0.5363636363636364,0.05470459518599562,0.6909090909090909,X,ckictsenl0000246a2itn28ts.jpeg,"(457, 110)",0.037795902128506066,1900.0,"(337.99999999999994, 21.0, 363.0, 97.0)"
ckictw05s0001246aeel6cew4,train,3,0.09076433121019109,0.5186335403726707,0.09235668789808918,0.8012422360248447,3,ckictw05s0001246aeel6cew4.jpeg,"(314, 161)",0.07400007912331369,3741.0000000000005,"(14.000000000000002, 18.999999999999993, 43.00000000000001, 148.0)"
ckictw05s0001246aeel6cew4,train,2,0.1942675159235669,0.5124223602484471,0.089171974522293,0.8136645962732919,2,ckictw05s0001246aeel6cew4.jpeg,"(314, 161)",0.0725560786485738,3668.0000000000005,"(47.00000000000001, 16.999999999999986, 75.0, 148.0)"
ckictw05s0001246aeel6cew4,train,5,0.30254777070063693,0.5372670807453416,0.089171974522293,0.7639751552795031,5,ckictw05s0001246aeel6cew4.jpeg,"(314, 161)",0.06812517308224869,3444.0000000000005,"(81.0, 24.999999999999993, 109.0, 148.0)"
